Producto,Precio,Supermercado,Categoria,IMG,Pagina
CARNE MOLIDA MIXTA 500 G,$ 8.490,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001635.png,https://domicilios.tiendasd1.com/p/carne-molida-mixta-500-g-12001635
CARNE DE RES PARA ASAR RED CUT 500 G,$ 11.990,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001632.png,https://domicilios.tiendasd1.com/p/carne-de-res-para-asar-red-cut-500-g-12001632
MILANESA DE CERDO 500 G,$ 8.990,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001633.png,https://domicilios.tiendasd1.com/p/milanesa-de-cerdo-500-g-12001633
TOCINO CARNUDO 500 G,$ 8.990,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001763.png,https://domicilios.tiendasd1.com/p/tocino-carnudo-500-g-12001763
CARNE MOLIDA DE RES X 500 G,$ 10.390,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003475.png,https://domicilios.tiendasd1.com/p/carne-molida-de-res-x-500-g-12003475
LOMO DE CERDO X 500 G,$ 9.990,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001637.png,https://domicilios.tiendasd1.com/p/lomo-de-cerdo-x-500-g-12001637
CHULETA DE CERDO 600 G,$ 10.390,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004198.png,https://domicilios.tiendasd1.com/p/chuleta-de-cerdo-600-g-12004198
MEDIA GALLINA DOÑA SABROSA 800 G,$ 9.590,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003807.png,https://domicilios.tiendasd1.com/p/media-gallina-dona-sabrosa-800-g-12003807
ALITAS DE POLLO BBQ BRASSET 900 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001704.png,https://domicilios.tiendasd1.com/p/alitas-de-pollo-bbq-brasset-900-g-12001704
PINCHOS DE POLLO APANADO BRASSET 4 UND - 200 G,$ 5.750,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002327.png,https://domicilios.tiendasd1.com/p/pinchos-de-pollo-apanado-brasset-4-und-200-g-12002327
MUSLOS DE POLLO IMPORTADOS BRASSET 800 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001273.png,https://domicilios.tiendasd1.com/p/muslos-de-pollo-importados-brasset-800-g-12001273
MEDIO POLLO CAMPESINO BRASSET 1100 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001284.png,https://domicilios.tiendasd1.com/p/medio-pollo-campesino-brasset-1100-g-12001284
PINCHOS CON TOCINETA BRASSET 540G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001705.png,https://domicilios.tiendasd1.com/p/pinchos-con-tocineta-brasset-540g-12001705
ENTREMUSLOS DE POLLO BRASSET 700 G,$ 7.690,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001283.png,https://domicilios.tiendasd1.com/p/entremuslos-de-pollo-brasset-700-g-12001283
MUSLOS DE POLLO BRASSET 700 G,$ 8.590,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001289.png,https://domicilios.tiendasd1.com/p/muslos-de-pollo-brasset-700-g-12001289
FILETES DE PECHUGA BRASSET X 600 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002595.png,https://domicilios.tiendasd1.com/p/filetes-de-pechuga-brasset-x-600-g-12002595
MENUDENCIA FINA DE POLLO BRASSET 500 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001690.png,https://domicilios.tiendasd1.com/p/menudencia-fina-de-pollo-brasset-500-g-12001690
PECHUGA DE POLLO FIESTA X 1.300 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003957.png,https://domicilios.tiendasd1.com/p/pechuga-de-pollo-fiesta-x-1300-g-12003957
ALAS SIN COSTILLAR POLLO FIESTA X 800 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004111.png,https://domicilios.tiendasd1.com/p/alas-sin-costillar-pollo-fiesta-x-800-g-12004111
PERNILES DE POLLO FIESTA X 700 G,$ 7.790,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004112.png,https://domicilios.tiendasd1.com/p/perniles-de-pollo-fiesta-x-700-g-12004112
PIERNAS DE POLLO FIESTA X 700 G,,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004113.png,https://domicilios.tiendasd1.com/p/piernas-de-pollo-fiesta-x-700-g-12004113
PALMITOS DE MAR/CANGREJO 454 G,$ 8.290,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004464.png,https://domicilios.tiendasd1.com/p/palmitos-de-marcangrejo-454-g-12004464
LOMITOS DE TILAPIA 454 G,$ 6.990,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004553.png,https://domicilios.tiendasd1.com/p/lomitos-de-tilapia-454-g-12004553
LOMITOS DE SALMON 454 G,$ 9.450,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004645.png,https://domicilios.tiendasd1.com/p/lomitos-de-salmon-454-g-12004645
FILETES DE MERLUZA RIVERPEZ 400 G,$ 10.990,D1,Carnes,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12004764.png,https://domicilios.tiendasd1.com/p/filetes-de-merluza-riverpez-400-g-12004764
