Producto,Precio,Supermercado,Categoria,IMG,Pagina
0,0,0,0,0,0
ZANAHORIA Aprox 1000gr,$1.880,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/8a162357-4218-41b1-bb28-073cbded72e3_700x700.png?v=1622197575,https://lavaquita.co/collections/frutas-y-verduras-actual/products/zanahoria_-malla_1000gr
BANANO CRIOLLO 5 Und Aprox 500 gr,$1.250,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/76b6170a-f1e1-4a92-8622-cee94a659b91_700x700.png?v=1622197616,https://lavaquita.co/collections/frutas-y-verduras-actual/products/banano_criollo_-bolsa_500gr
PLATANO VERDE Aprox 1000gr,$3.300,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/60f53c8f-568e-4fc4-bc07-68b0a1575062_700x700.png?v=1622197562,https://lavaquita.co/collections/frutas-y-verduras-actual/products/platano_verde_-bolsa_700gr
PAPA CRIOLLA *MALLA 1000gr,$4.600,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/55c7760a-530e-4e89-9635-f12c3cd90c2b_700x700.png?v=1622197536,https://lavaquita.co/collections/frutas-y-verduras-actual/products/papa_criolla_-malla_1000gr
PLATANO MADURO*BOLSA 1000gr,$3.300,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/8095c14d-a4df-456e-89ab-429175ac02f1_700x700.png?v=1622197543,https://lavaquita.co/collections/frutas-y-verduras-actual/products/platano_maduro_-bolsa_700gr
MANGO TOMMY Und Aprox 400gr,$2.760,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/f25560ee-c1bc-45a2-96f6-d4b5959623de_700x700.png?v=1622197511,https://lavaquita.co/collections/frutas-y-verduras-actual/products/mango_tommy_-malla_1000gr
PINA ORO MIEL Und Aprox 2000gr,$8.920,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/50b12a44-08a3-4ba4-a580-3419fbf218e8_700x700.png?v=1622377599,https://lavaquita.co/collections/frutas-y-verduras-actual/products/pina_oro_miel_-bolsa_1800gr
PAPA CAPIRA * MALLA 1500gr,$4.410,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/f1548329-9455-4d3f-b18b-66a3f8e200c2_700x700.png?v=1622197522,https://lavaquita.co/collections/frutas-y-verduras-actual/products/papa_capira_-malla_15000gr_
CEBOLLA BLANCA Aprox 1000gr,$5.700,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/db50b41a-5198-4aa5-bdb3-189ac7dbe535_700x700.png?v=1622197667,https://lavaquita.co/collections/frutas-y-verduras-actual/products/cebolla_blanca_-malla_1000gr
LIMON TAHITI Aprox 1000gr,$6.800,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/7d40833b-582f-475d-89ce-b9f04ebec9fa_700x700.png?v=1622377601,https://lavaquita.co/collections/frutas-y-verduras-actual/products/limon_tahiti_-malla_1000gr
BROCOLI Unidad Aprox 700gr,$3.430,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/b5dd17a1-8a9e-485c-8572-b2f0d261853c_700x700.png?v=1622197670,https://lavaquita.co/collections/frutas-y-verduras-actual/products/brocoli_-vinipel_300gr
PIMENTON VALLUNO 4C Aprox 250gr,$825,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/b1c0c968-29f7-4958-8d5b-cd3cdf80f5d0_700x700.png?v=1622197544,https://lavaquita.co/collections/frutas-y-verduras-actual/products/pimenton_valluno_4c_-bolsa_150gr
PEPINO COHOMBRO Aprox 500gr,$1.100,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/128d2094-b553-414a-96a2-b9ab0478bd06_700x700.png?v=1622197533,https://lavaquita.co/collections/frutas-y-verduras-actual/products/pepino_cohombro_-bolsa_400gr
TOMATE CHONTO Aprox 2000gr,$5.360,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_tomate_chonto_1000gr_695x695_482668f7-470d-4880-878e-82647940ee68_700x700.jpg?v=1647519772,https://lavaquita.co/collections/frutas-y-verduras-actual/products/copia-de-tomate-chonto-1000gr
CEBOLLA JUNCA PELADA *500gr,$2.950,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/2be377f0-b5e8-4cf0-86f7-78a49fa03106_700x700.png?v=1622197667,https://lavaquita.co/collections/frutas-y-verduras-actual/products/cebolla_junca_pelada_-vinipel_500gr
PAPAYA MAREDOL Aprox 1800-1500gr,$6.520,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/70cfdd81-5d4f-4265-83f7-a963c6441638_700x700.png?v=1622197527,https://lavaquita.co/collections/frutas-y-verduras-actual/products/papaya_maredol_-bolsa_1500gr
LECHUGA BATAVIA Und Aprox700gr,$1.800,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/8372da43-65fd-4442-aca6-c6e0582e8621_700x700.png?v=1622197500,https://lavaquita.co/collections/frutas-y-verduras-actual/products/lechuga_batavia_-vinipel_700gr
CEBOLLA ROJA Aprox 500gr,$2.150,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/3ed3d5b0-db0d-4789-aee6-f3c31b73a4e0_700x700.png?v=1622197666,https://lavaquita.co/collections/frutas-y-verduras-actual/products/cebolla_roja_-malla_500gr
CILANTRO Aprox 300gr,$5.820,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/b83b19a8-67e3-48e8-b2f3-9ecb24440722_700x700.png?v=1622197689,https://lavaquita.co/collections/frutas-y-verduras-actual/products/cilantro_-vinipel_200gr
LECHUGA CRESPA *180gr,$2.100,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/f9e4125a-aac8-4edb-a086-c9ffd2003175_700x700.png?v=1622197502,https://lavaquita.co/collections/frutas-y-verduras-actual/products/lechuga_crespa_-bolsa_180gr
TOMATE CHONTO Aprox 1000gr,$2.680,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_tomate_chonto_2000gr_695x695_51d46db9-3fd1-4949-aa76-9d48ac863394_700x700.jpg?v=1647519755,https://lavaquita.co/collections/frutas-y-verduras-actual/products/copia-de-tomate-chonto-2000gr
MANZANA PAQUETE X 7UND *800gr,$8.000,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/6169f20c-1766-475b-944c-1b7f8558d87f_700x700.png?v=1622197518,https://lavaquita.co/collections/frutas-y-verduras-actual/products/manzana_paquete_x_7und
AJO MALLA *MALLA 130gr,$1.430,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/supermercados_la_vaquita_supervaquita_ajo_130g_700x700.jpg?v=1631115503,https://lavaquita.co/collections/frutas-y-verduras-actual/products/ajo-malla-malla-130gr
AGUACATE INJERTO BOLSA 1000gr,$4.980,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/f9c1dfd5-bbe4-432a-8d60-1318685d654c_700x700.jpg?v=1629922886,https://lavaquita.co/collections/frutas-y-verduras-actual/products/aguacate-injerto-bolsa-1000gr
TOMATE DE ARBOL Aprox 1000gr,$4.200,La vaquita,Vegetales y frutas,https://cdn.shopify.com/s/files/1/0492/2458/1274/products/c6e77264-a4db-4f70-af17-ce84d0da417f_700x700.png?v=1622197586,https://lavaquita.co/collections/frutas-y-verduras-actual/products/tomate_de_arbol_-malla_1000gr
